id	label	premise	hipothesis
1	4.5	A laughing child is holding a water gun and being splashed with water	A child is holding a water gun
2	4.5	Men are carefully packing their luggage in the trunk of a car.	Men are putting luggage in the trunk of a car
3	4.7	One person has flowing blond hair and is playing guitar	A guitar player has flowing blond hair
4	4.7	Potatoes are being sliced by a man	The man is slicing the potato
5	4.9	A truck is speeding down a hill	A truck is speeding down the hill
6	4.8	A surfer is riding a big wave through the dark green water	A big wave is being surfed by a surfer through the dark green water.
7	4.6	Three little dogs are smelling something	Three dogs are smelling something
8	4.7	Some adults are sitting on chairs and are watching the ocean.	Two adults are sitting on chairs and are watching the ocean.
9	4.9	The cave with pink interior is being climbed by four Middle Eastern children, three girls and a boy.	Four Middle Eastern children, three girls and one boy, are climbing into the cave with a pink interior.
10	4.9	The man with a hard hat is dancing	A man with a hard hat is dancing
11	5.0	A boy and a girl are playing outside the gym	The boy and the girl are playing at outdoor gym
12	4.3	A young couple is sleeping in bed.	A young couple is lying in bed
13	4.8	The mound of men is playing rugby in a muddy field	The group of men are playing rugby on a muddy hill.
14	4.9	Potato is being peeled by a woman	A woman is peeling the potato
15	4.3	A man is standing on a dirt hill next to a black jeep.	A man is standing on a dirt hill next to a black car.
16	3.4	A man in a dyed purple shirt is walking away from a man in a black shirt who is serious	A man in a dyed purple shirt is looking at the man in the black shirt who is making a funny face
17	4.9	The girl is applying makeup on her face	A girl is applying makeup on her face
18	4.9	A man is chopping a log with an ax	A man is chopping a log with an ax
19	4.5	The man is cracking eggs in a bowl	The person is breaking eggs in a bowl
20	4.6	A young child is wearing boots made of green rubber and is playing in a mud puddle	A young child is wearing green boots and playing in a muddy puddle
21	4.2	The outdoor ice skating rink is full of people	Many people are in an ice skating park
22	4.4	A rabbit is playing with a stuffed rabbit	A rabbit is playing with a toy rabbit
23	4.6	A kitten is playing with a toy made of blue rope.	A kitten is playing with a toy.
24	4.5	A man is playing a flute	A man is playing an instrument
25	4.7	Two boys are playing on a trampoline	Some boys are playing on the trampoline
26	4.6	Two dogs are in a kennel on their hind legs and are facing each other	Two animals are in a kennel on their hind legs and are facing each other
27	4.8	An onion is being cut by a man	An onion is being sliced by a man
28	4.9	A man is emptying a plastic container	A man is emptying a container made of plastic
29	4.3	An animal is running tiredly in circles.	An animal is running in circles.
30	5.0	A lady is mixing a mixture made of meat in a bowl.	A lady is mixing a meat mixture in a bowl.
31	4.4	A man is riding a horse	A man is riding an animal
32	4.4	The man is riding a horse near a stream	The man is riding a horse near a current
33	4.6	A woman is standing on the beach with a dog on a leash.	A woman is standing on the beach with an animal on a leash
34	5.0	A horse is being ridden by a woman	A woman is riding a horse
35	3.3	A woman is wearing a blue helmet and is riding a bicycle in a parking lot.	The cyclist is not riding on a city street
36	4.3	The monkey is being trained in martial arts	The monkey is practicing martial arts
37	4.5	The plane, which is South African, is flying in a blue sky.	A plane is flying through the air
38	4.4	A dog is jumping on a bright blue soccer ball in a field of dry leaves.	An animal is jumping on a bright blue soccer ball in a field of dry leaves.
39	4.9	A lady is standing near three children	A woman is standing near three children
40	4.7	A dog is running after a ball in the grass	The dog is chasing a ball in the grass
41	4.5	A wild deer is jumping over a fence	The deer is jumping over a fence
42	4.8	A small boy is sitting in a green tunnel with a smile on his face.	A small boy is sitting in a green tunnel with a smile on his face.
43	4.7	The old lady is looking forward to the sidewalk	The old lady is waiting on the sidewalk
44	4.5	A girl is practicing the piano	A girl is playing the piano
45	4.6	A woman is adding ingredients in a large bowl.	A woman is adding ingredients to a bowl.
46	4.7	The man is dancing wildly	The man is dancing
47	4.4	A woman is slicing an eggplant	The woman is cutting a vegetable
48	4.45	A squirrel is insanely spinning in circles.	A squirrel is running in circles.
49	5.0	A man is cutting a paper board.	A paper plate is being cut by a man
50	4.6	The woman is dicing garlic	A woman is slicing garlic
51	4.9	Two teammates are leading a soccer player in a red and white uniform	A soccer player in red and white uniform is being held up by two teammates
52	4.8	The sun is shining on the face of the girl in the yellow-dyed dress	The sun is shining on the face of the girl in the yellow dress
53	4.9	A young child is wearing a white coat and playing a game.	A young child is wearing a white coat and playing a game
54	4.6	The man is playing an acoustic guitar	A man is playing the guitar
55	4.9	A brown dog is jumping in the air	A dog, which is brown, is jumping in the air
56	4.8	A man is carelessly holding a frog	A frog is being carelessly held by a man
57	4.9	The person is slicing a garlic clove into pieces	A person is slicing a garlic clove into pieces
58	4.8	The presentation is being attended by a class of students.	The presentation is being attended by a class of students.
59	4.6	A man is slicing a potato into pieces	A man is cutting a potato into pieces.
60	4.9	A dog is pushing a small child into a rain puddle	A dog is pushing a small child into a rain puddle
61	4.8	A woman is shooting a practice target	A woman is shooting a practice target
62	5.0	The boys are standing in front of the burning car	The boys are standing in front of the burning car
63	4.2	A white rally car is throwing mud into the air and is approaching a turn on the track.	A white racing vehicle is going through a puddle
64	4.8	A soda is being opened and taken by a woman	A woman is opening a soda and drinking
65	4.4	Orange juice is being drunk by a man who is walking on a sunny day.	A man is drinking orange juice and walking.
66	4.9	The woman is squeezing juice from a lemon	A woman is squeezing a lemon
67	4.4	The man is using a sledgehammer to break a concrete block that is on someone else.	A man is breaking a concrete slab with a sledgehammer
68	4.3	A black dog is running on the grass and its tongue is sticking out of its mouth	A dog, which is black, is running in the grass
69	4.7	A lonely man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a large wall.
70	4.7	A mountain is being climbed by two men	The men are climbing a mountain
71	4.6	A young child is running outside over some fallen leaves	A young child is running outdoors on the fallen leaves.
72	4.8	A young child is running down a road made of gravel covered with dead leaves.	A young child is running down a gravel road that is covered with dead leaves.
73	4.9	The person is writing with a pencil	A person is writing something down with a pencil.
74	4.5	A man is diving in a pool	A man is diving in the water
75	4.5	A man is doing a skateboard trick on an outdoor porch	A man is doing a trick with a skateboard.
76	4.7	A woman is wearing a long black coat and a brown hat and is walking through a park with a lot of blooming trees.	A woman who is wearing a long black jacket and a brown hat is walking through a park with many blooming trees.
77	4.4	A skateboarder is doing tricks on a track.	A man is skateboarding on a track
78	4.9	A homeless man is holding a sign and is begging mercifully for money.	A homeless house man is holding a sign and begging for money
79	4.9	A cute panda is lying down	A cute panda is lying down
80	4.8	Men are fighting their fists in a ring	Men are fighting their fists in a ring
81	4.9	This group of people are practicing water rescue and wearing life jackets.	Life jackets are being worn by a group of people practicing water rescue
82	4.9	A man is playing a flute	a man is playing the flute
83	4.7	A man is slicing a fish	A man is cutting a fish
84	5.0	Teen girl is wearing beads that are red	A teen girl is wearing beads that are red
85	4.7	Some horses are competing furiously on the green grass and jumping over the obstacle.	Some horses are competing furiously on the green grass and jumping over an obstacle.
86	4.3	Two men are holding fishing rods and fishing tackle	Two men are holding fishing rods
87	4.7	A man is playing a guitar	A man is performing with the guitar
88	4.6	A man is strumming the guitar	A man is playing the guitar
89	5.0	The man is slicing a potato	The man is slicing the potato
90	4.6	A girl with red hair and red eyebrows is talking	A girl with red hair and red eyebrows is in the middle of a conversation
91	4.9	A wee boy in a striped shirt is slipping out of a green tube	A small boy in a striped shirt is slipping out of a green tube
92	4.9	A girl is tapping her nails	The girl is tapping her nails
93	4.2	A baby rhino is walking around a cage with its mother	A small rhino is following an adult rhino
94	4.7	Two women are dancing and singing in front of many people.	Two women are dancing and singing in front of a crowd
95	5.0	A man is thinking	The man is thinking
96	5.0	A brown and white dog is jumping in the air with a tennis ball in its mouth.	A brown and white dog is jumping in the air with a tennis ball in its mouth.
97	4.0	The green field for horse racing is completely full of jockeys	Jockeys are running horses in the field, which is completely green
98	4.5	A young boy is singing and playing the guitar	A child is singing and playing a guitar
99	4.9	A woman is standing near three children	A lady is standing near three children
100	4.9	A dog with caramel coat is jumping up and catching a tennis ball	A caramel dog is jumping up and catching a tennis ball
101	4.8	A man is riding a mechanical bull.	The man is riding a mechanical bull
102	4.2	A badger is cunningly digging the earth	The badger is digging a hole
103	4.7	The woman is frying a breaded pork chop	A woman is cooking empanada pork chop
104	5.0	A dog is jumping on a trampoline	A dog is jumping on a trampoline
105	4.5	A man plays a piano at a concert.	A man is playing a piano
106	4.8	A man is peeling an onion	A man is removing the skin of an onion
107	4.5	A big dog is climbing a steep hill	A big dog is wildly climbing a steep hill
108	4.4	Someone is drilling a hole in a piece of wood with a drill	A man is drilling a hole in a piece of wood
109	4.8	The woman is adding cheese to the sauce	The lady is adding cheese to the sauce
110	4.2	A bicycle stuntman is in the air near a body of water	A person on a bicycle is in the air near a body of water.
111	4.7	A young woman is dancing	A young girl is dancing
112	4.8	A horse is being ridden by a man	A man is riding a horse
113	4.6	The man is pouring oil on some tomatoes	The man is pouring some oil on the tomatoes
114	4.9	A woman is peeling a potato	A potato is being peeled by a woman
115	4.6	A black dog is jumping from a rock in a pond	A black dog is jumping from a dock into the water
116	4.7	A woman is frying some food	A woman is frying food
117	4.9	A bottle is being licked by the cat	The cat is licking a bottle
118	4.6	A shirtless man is leading a horse pulling a cart	A shirtless man is driving a cart being pulled by a horse
119	4.1	A man is playing a flute made of bamboo	The man is playing a flute
120	4.7	A couple is sitting on a patio and is facing the ocean.	A couple is sitting on a patio and looking at the ocean.
