1	Entailment	Uma criança risonha está segurando uma pistola de água e sendo espirrada com água	Uma criança está segurando uma pistola de água
2	Entailment	Os homens estão cuidadosamente colocando as malas no porta-malas de um carro	Os homens estão colocando bagagens dentro do porta-malas de um carro
3	Entailment	Uma pessoa tem cabelo loiro e esvoaçante e está tocando violão	Um guitarrista tem cabelo loiro e esvoaçante
4	Entailment	Batatas estão sendo fatiadas por um homem	O homem está fatiando a batata
5	Entailment	Um caminhão está descendo rapidamente um morro	Um caminhão está rapidamente descendo o morro
6	Entailment	Um surfista está pegando uma grande onda através da água verde escura	Uma onda grande está sendo surfada por um surfista através da água verde escura
7	Entailment	Três cachorros pequeninos estão cheirando algo	Três cachorros estão cheirando alguma coisa
8	Entailment	Alguns adultos estão sentados nas cadeiras e estão observando o oceano	Dois adultos estão sentados em cadeiras e estão observando o oceano
9	Entailment	A gruta com interior rosa está sendo escalada por quatro crianças do Oriente Médio, três meninas e um menino	Quatro crianças do Oriente Médio, três meninas e um menino, estão subindo na gruta com um interior rosa
10	Entailment	O homem com um chapéu duro está dançando	Um homem com um chapéu duro está dançando
11	Entailment	Um menino e uma menina estão brincando do lado de fora da academia	O menino e a menina estão brincando na academia ao ar livre
12	Entailment	Um jovem casal está dormindo na cama	Um jovem casal está deitado na cama
13	Entailment	O monte de homens está jogando rúgbi em um campo cheio de lama	O grupo de homens está jogando rúgbi em um monte enlameado
14	Entailment	A batata está sendo descascada por uma mulher	Uma mulher está descascando a batata
15	Entailment	Um homem está de pé em um morro de terra próximo a um jipe preto	Um homem está parado em um morro de terra ao lado de um carro preto
16	Entailment	Um homem em uma camisa tingida de roxo está se afastando de um homem com uma camisa preta, que está sério	Um homem em uma camisa tingida de roxo está olhando para o homem de camisa preta que está fazendo uma cara engraçada
17	Entailment	A menina está passando maquiagem em sua face	Uma menina está aplicando maquiagem em seu rosto
18	Entailment	Um homem está picando um tronco com um machado	Um homem está cortando um tronco com um machado
19	Entailment	O homem está rachando ovos em uma tigela	A pessoa está quebrando ovos em uma tigela
20	Entailment	Uma criança jovem está usando botas feitas de borracha verde e está brincando em uma poça de lama	Uma criança jovem está usando botas verdes e brincando em uma poça cheia de lama
21	Entailment	A pista de patinação no gelo colocada ao ar livre está cheia de pessoas	Muitas pessoas estão em um parque de patinação no gelo
22	Entailment	Um coelho está brincando com um coelho de pelúcia	Um coelho está brincando com um coelho de brinquedo
23	Entailment	Um filhote de gato está brincando com um brinquedo feito de corda azul	Um filhote de gato está brincando com um brinquedo
24	Entailment	Um homem está tocando uma flauta	Um homem está tocando um instrumento
25	Entailment	Dois meninos estão brincando em um trampolim	Alguns meninos estão brincando no trampolim
26	Entailment	Dois cachorros estão em um canil em suas patas traseiras e estão um de frente um para o outro	Dois animais estão em um canil em suas patas traseiras e estão de frente um para o outro
27	Entailment	Uma cebola está sendo cortada por um homem	Uma cebola está sendo fatiada por um homem
28	Entailment	Um homem está esvaziando um recipiente de plástico	Um homem está esvaziando um recipiente feito de plástico
29	Entailment	Um animal está correndo cansadamente em círculos	Um animal está correndo em círculos
30	Entailment	Uma senhora está misturando uma mistura feita de carne em uma tigela	Uma senhora está misturando uma mistura de carne em uma tigela
31	Entailment	Um homem está andando a cavalo	Um homem está montando um animal
32	Entailment	O homem está montando um cavalo perto de um riacho	O homem está montando um cavalo perto de uma correnteza
33	Entailment	Uma mulher está de pé na praia com um cachorro em uma coleira	Uma mulher está de pé na praia com um animal em uma coleira
34	Entailment	Um cavalo está sendo montado por uma mulher	Uma mulher está andando a cavalo
35	Entailment	Uma mulher está usando um capacete azul e está andando de bicicleta em um estacionamento	O ciclista não está andando em uma rua da cidade
36	Entailment	O macaco está sendo treinado em artes marciais	O macaco está praticando artes marciais
37	Entailment	O avião, que é sul-africano, está voando em um céu azul	Um avião está voando pelo ar
38	Entailment	Um cachorro está pulando em uma bola de futebol azul brilhante em um campo de folhas secas	Um animal está pulando em uma bola de futebol azul brilhante em um campo de folhas secas
39	Entailment	Uma senhora está parada perto de três crianças	Uma mulher está de pé perto de três crianças
40	Entailment	Um cachorro está correndo atrás de uma bola na grama	O cachorro está perseguindo uma bola na grama
41	Entailment	Um cervo selvagem está pulando uma cerca	O cervo está pulando sobre uma cerca
42	Entailment	Um menino pequeno está sentado num túnel verde com um sorriso em seu rosto	Um menino, que é pequeno, está sentado em um túnel verde com um sorriso em seu rosto
43	Entailment	A senhora de idade está esperando ansiosamente na calçada	A senhora de idade está esperando na calçada
44	Entailment	Uma menina está praticando o piano	Uma menina está tocando o piano
45	Entailment	Uma mulher está adicionando ingredientes em uma tigela grande	Uma mulher está adicionando ingredientes a uma tigela
46	Entailment	O homem está dançando selvagemente	O homem está dançando
