id	label	premise	hipothesis
1	Entailment	A laughing child is holding a water gun and being splashed with water	A child is holding a water gun
2	Entailment	Men are carefully packing their luggage in the trunk of a car.	Men are putting luggage in the trunk of a car
3	Entailment	One person has flowing blond hair and is playing guitar	A guitar player has flowing blond hair
4	Entailment	Potatoes are being sliced by a man	The man is slicing the potato
5	Entailment	A truck is speeding down a hill	A truck is speeding down the hill
6	Entailment	A surfer is riding a big wave through the dark green water	A big wave is being surfed by a surfer through the dark green water.
7	Entailment	Three little dogs are smelling something	Three dogs are smelling something
8	Entailment	Some adults are sitting on chairs and are watching the ocean.	Two adults are sitting on chairs and are watching the ocean.
9	Entailment	The cave with pink interior is being climbed by four Middle Eastern children, three girls and a boy.	Four Middle Eastern children, three girls and one boy, are climbing into the cave with a pink interior.
10	Entailment	The man with a hard hat is dancing	A man with a hard hat is dancing
11	Entailment	A boy and a girl are playing outside the gym	The boy and the girl are playing at outdoor gym
12	Entailment	A young couple is sleeping in bed.	A young couple is lying in bed
13	Entailment	The mound of men is playing rugby in a muddy field	The group of men are playing rugby on a muddy hill.
14	Entailment	Potato is being peeled by a woman	A woman is peeling the potato
15	Entailment	A man is standing on a dirt hill next to a black jeep.	A man is standing on a dirt hill next to a black car.
16	Entailment	A man in a dyed purple shirt is walking away from a man in a black shirt who is serious	A man in a dyed purple shirt is looking at the man in the black shirt who is making a funny face
17	Entailment	The girl is applying makeup on her face	A girl is applying makeup on her face
18	Entailment	A man is chopping a log with an ax	A man is chopping a log with an ax
19	Entailment	The man is cracking eggs in a bowl	The person is breaking eggs in a bowl
20	Entailment	A young child is wearing boots made of green rubber and is playing in a mud puddle	A young child is wearing green boots and playing in a muddy puddle
21	Entailment	The outdoor ice skating rink is full of people	Many people are in an ice skating park
22	Entailment	A rabbit is playing with a stuffed rabbit	A rabbit is playing with a toy rabbit
23	Entailment	A kitten is playing with a toy made of blue rope.	A kitten is playing with a toy.
24	Entailment	A man is playing a flute	A man is playing an instrument
25	Entailment	Two boys are playing on a trampoline	Some boys are playing on the trampoline
26	Entailment	Two dogs are in a kennel on their hind legs and are facing each other	Two animals are in a kennel on their hind legs and are facing each other
27	Entailment	An onion is being cut by a man	An onion is being sliced by a man
28	Entailment	A man is emptying a plastic container	A man is emptying a container made of plastic
29	Entailment	An animal is running tiredly in circles.	An animal is running in circles.
30	Entailment	A lady is mixing a mixture made of meat in a bowl.	A lady is mixing a meat mixture in a bowl.
31	Entailment	A man is riding a horse	A man is riding an animal
32	Entailment	The man is riding a horse near a stream	The man is riding a horse near a current
33	Entailment	A woman is standing on the beach with a dog on a leash.	A woman is standing on the beach with an animal on a leash
34	Entailment	A horse is being ridden by a woman	A woman is riding a horse
35	Entailment	A woman is wearing a blue helmet and is riding a bicycle in a parking lot.	The cyclist is not riding on a city street
36	Entailment	The monkey is being trained in martial arts	The monkey is practicing martial arts
37	Entailment	The plane, which is South African, is flying in a blue sky.	A plane is flying through the air
38	Entailment	A dog is jumping on a bright blue soccer ball in a field of dry leaves.	An animal is jumping on a bright blue soccer ball in a field of dry leaves.
39	Entailment	A lady is standing near three children	A woman is standing near three children
40	Entailment	A dog is running after a ball in the grass	The dog is chasing a ball in the grass
41	Entailment	A wild deer is jumping over a fence	The deer is jumping over a fence
42	Entailment	A small boy is sitting in a green tunnel with a smile on his face.	A small boy is sitting in a green tunnel with a smile on his face.
43	Entailment	The old lady is looking forward to the sidewalk	The old lady is waiting on the sidewalk
44	Entailment	A girl is practicing the piano	A girl is playing the piano
45	Entailment	A woman is adding ingredients in a large bowl.	A woman is adding ingredients to a bowl.
46	Entailment	The man is dancing wildly	The man is dancing
47	Entailment	A woman is slicing an eggplant	The woman is cutting a vegetable
48	Entailment	A squirrel is insanely spinning in circles.	A squirrel is running in circles.
49	Entailment	A man is cutting a paper board.	A paper plate is being cut by a man
50	Entailment	The woman is dicing garlic	A woman is slicing garlic
51	Entailment	Two teammates are leading a soccer player in a red and white uniform	A soccer player in red and white uniform is being held up by two teammates
52	Entailment	The sun is shining on the face of the girl in the yellow-dyed dress	The sun is shining on the face of the girl in the yellow dress
53	Entailment	A young child is wearing a white coat and playing a game.	A young child is wearing a white coat and playing a game
54	Entailment	The man is playing an acoustic guitar	A man is playing the guitar
55	Entailment	A brown dog is jumping in the air	A dog, which is brown, is jumping in the air
56	Entailment	A man is carelessly holding a frog	A frog is being carelessly held by a man
57	Entailment	The person is slicing a garlic clove into pieces	A person is slicing a garlic clove into pieces
58	Entailment	The presentation is being attended by a class of students.	The presentation is being attended by a class of students.
59	Entailment	A man is slicing a potato into pieces	A man is cutting a potato into pieces.
60	Entailment	A dog is pushing a small child into a rain puddle	A dog is pushing a small child into a rain puddle
61	Entailment	A woman is shooting a practice target	A woman is shooting a practice target
62	Entailment	The boys are standing in front of the burning car	The boys are standing in front of the burning car
63	Entailment	A white rally car is throwing mud into the air and is approaching a turn on the track.	A white racing vehicle is going through a puddle
64	Entailment	A soda is being opened and taken by a woman	A woman is opening a soda and drinking
65	Entailment	Orange juice is being drunk by a man who is walking on a sunny day.	A man is drinking orange juice and walking.
66	Entailment	The woman is squeezing juice from a lemon	A woman is squeezing a lemon
67	Entailment	The man is using a sledgehammer to break a concrete block that is on someone else.	A man is breaking a concrete slab with a sledgehammer
68	Entailment	A black dog is running on the grass and its tongue is sticking out of its mouth	A dog, which is black, is running in the grass
69	Entailment	A lonely man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a large wall.
70	Entailment	A mountain is being climbed by two men	The men are climbing a mountain
71	Entailment	A young child is running outside over some fallen leaves	A young child is running outdoors on the fallen leaves.
72	Entailment	A young child is running down a road made of gravel covered with dead leaves.	A young child is running down a gravel road that is covered with dead leaves.
73	Entailment	The person is writing with a pencil	A person is writing something down with a pencil.
74	Entailment	A man is diving in a pool	A man is diving in the water
75	Entailment	A man is doing a skateboard trick on an outdoor porch	A man is doing a trick with a skateboard.
76	Entailment	A woman is wearing a long black coat and a brown hat and is walking through a park with a lot of blooming trees.	A woman who is wearing a long black jacket and a brown hat is walking through a park with many blooming trees.
77	Entailment	A skateboarder is doing tricks on a track.	A man is skateboarding on a track
78	Entailment	A homeless man is holding a sign and is begging mercifully for money.	A homeless house man is holding a sign and begging for money
79	Entailment	A cute panda is lying down	A cute panda is lying down
80	Entailment	Men are fighting their fists in a ring	Men are fighting their fists in a ring
81	Entailment	This group of people are practicing water rescue and wearing life jackets.	Life jackets are being worn by a group of people practicing water rescue
82	Entailment	A man is playing a flute	a man is playing the flute
83	Entailment	A man is slicing a fish	A man is cutting a fish
84	Entailment	Teen girl is wearing beads that are red	A teen girl is wearing beads that are red
85	Entailment	Some horses are competing furiously on the green grass and jumping over the obstacle.	Some horses are competing furiously on the green grass and jumping over an obstacle.
86	Entailment	Two men are holding fishing rods and fishing tackle	Two men are holding fishing rods
87	Entailment	A man is playing a guitar	A man is performing with the guitar
88	Entailment	A man is strumming the guitar	A man is playing the guitar
89	Entailment	The man is slicing a potato	The man is slicing the potato
90	Entailment	A girl with red hair and red eyebrows is talking	A girl with red hair and red eyebrows is in the middle of a conversation
91	Entailment	A wee boy in a striped shirt is slipping out of a green tube	A small boy in a striped shirt is slipping out of a green tube
92	Entailment	A girl is tapping her nails	The girl is tapping her nails
93	Entailment	A baby rhino is walking around a cage with its mother	A small rhino is following an adult rhino
94	Entailment	Two women are dancing and singing in front of many people.	Two women are dancing and singing in front of a crowd
95	Entailment	A man is thinking	The man is thinking
96	Entailment	A brown and white dog is jumping in the air with a tennis ball in its mouth.	A brown and white dog is jumping in the air with a tennis ball in its mouth.
97	Entailment	The green field for horse racing is completely full of jockeys	Jockeys are running horses in the field, which is completely green
98	Entailment	A young boy is singing and playing the guitar	A child is singing and playing a guitar
99	Entailment	A woman is standing near three children	A lady is standing near three children
100	Entailment	A dog with caramel coat is jumping up and catching a tennis ball	A caramel dog is jumping up and catching a tennis ball
101	Entailment	A man is riding a mechanical bull.	The man is riding a mechanical bull
102	Entailment	A badger is cunningly digging the earth	The badger is digging a hole
103	Entailment	The woman is frying a breaded pork chop	A woman is cooking empanada pork chop
104	Entailment	A dog is jumping on a trampoline	A dog is jumping on a trampoline
105	Entailment	A man plays a piano at a concert.	A man is playing a piano
106	Entailment	A man is peeling an onion	A man is removing the skin of an onion
107	Entailment	A big dog is climbing a steep hill	A big dog is wildly climbing a steep hill
